image_paths,image_urls,images,movie_imgurl,movie_name,movie_ranking,movie_rating,movie_ratnum
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2209066019.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2209066019.jpg,蝴蝶效应,70,8.7,366175
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1014542496.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1014542496.jpg,拯救大兵瑞恩,71,8.8,225082
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2118532944.jpg,素媛,72,9.1,163919
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792400696.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792400696.jpg,西西里的美丽传说,73,8.7,328748
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1820615077.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1820615077.jpg,玛丽和马克思,74,8.9,226283
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480965695.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p480965695.jpg,心灵捕手,75,8.7,257830
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1613191025.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1613191025.jpg,幽灵公主,76,8.8,224214
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220184425.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2220184425.jpg,第六感,77,8.8,223507
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465939041.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p465939041.jpg,春光乍泄,78,8.8,231627
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p967457079.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p967457079.jpg,阳光灿烂的日子,79,8.7,258157
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1512562287.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1512562287.jpg,让子弹飞,80,8.7,597503
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2184505167.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2184505167.jpg,大闹天宫,81,9.2,92156
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p692813374.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p692813374.jpg,大鱼,82,8.7,240690
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2315672647.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2315672647.jpg,疯狂动物城,83,9.2,464723
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1993903133.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1993903133.jpg,射雕英雄传之东成西就,84,8.7,262758
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792381411.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p792381411.jpg,重庆森林,85,8.6,311110
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1374786017.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1374786017.jpg,阳光姐妹淘,86,8.8,255576
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455677490.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p455677490.jpg,上帝之城,87,8.9,152093
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1832875827.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1832875827.jpg,禁闭岛,88,8.6,339927
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2223011274.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2223011274.jpg,甜蜜蜜,89,8.7,222771
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453720880.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453720880.jpg,致命ID,90,8.6,301295
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p689520756.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p689520756.jpg,告白,91,8.7,323756
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2119675128.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2119675128.jpg,一一,92,8.9,146696
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1596085504.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1596085504.jpg,加勒比海盗,93,8.6,324553
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1546987967.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p1546987967.jpg,狩猎,94,9.0,116016
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2178872593.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2178872593.jpg,布达佩斯大饭店,95,8.7,288785
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1486234122.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1486234122.jpg,爱在黎明破晓前,96,8.7,207701
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p513535588.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p513535588.jpg,断背山,97,8.6,302843
,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2180085848.jpg,,https://img1.doubanio.com/view/movie_poster_cover/ipst/public/p2180085848.jpg,阿凡达,98,8.6,505504
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1917567652.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1917567652.jpg,风之谷,99,8.8,167314
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173707976.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p2173707976.jpg,摩登时代,100,9.2,81841
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452088641.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p452088641.jpg,末代皇帝,101,8.8,151665
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453924541.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p453924541.jpg,猫鼠游戏,102,8.7,206494
,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910924055.jpg,,https://img3.doubanio.com/view/movie_poster_cover/ipst/public/p1910924055.jpg,爱在日落黄昏时,103,8.7,188715
